content,tips,lesson,translation,mask
"かみ（紙）","","9","［名］ 纸","紙"
"ニュース","","9","［名］ 新闻","ニュース"
"じょせい（女性）","","9","［名］ 女性","女性"
"おきゃくさま（お客様）","","9","［名］ 来宾","お客様"
"グラス","","9","［名］ 玻璃杯","グラス"
"かぶき（歌舞伎）","","9","［名］ 歌舞伎","歌舞伎"
"きもち（気持ち）","","9","［名］ 心情","気持ち"
"たくさん","","9","［名］ 很多","たくさん"
"からい（辛い）","","9","［形1］ 辣","辛い"
"あまい（甘い）","","9","［形1］ 甜","甘い"
"しおからい（塩辛い）","","9","［形1］ 咸","塩辛い"
"しょっぱい","","9","［形1］ 咸","しょっぱい"
"すっぱい（酸っぱい）","","9","［形1］ 酸","酸っぱい"
"にがい（苦い）","","9","［形1］ 苦","苦い"
"おいしい","","9","［形1］ 好吃，可口","おいしい"
"まずい","","9","［形1］ 不好吃，难吃","まずい"
"あつい","","9","［形1］ 热，烫","あつい"
"つめたい（冷たい）","","9","［形1］ 凉","冷たい"
"たのしい（楽しい）","","9","［形1］ 愉快，快乐","楽しい"
"おもしろい","","9","［形1］ 有趣，有意思","おもしろい"
"つまらない","","9","［形1］ 无聊","つまらない"
"ひろい（広い）","","9","［形1］ 广阔，宽敞","広い"
"せまい（狭い）","","9","［形1］ 狭窄","狭い"
"おおきい（大きい）","","9","［形1］ 大","大きい"
"ちいさい（小さい）","","9","［形1］ 小","小さい"
"いそがしい（忙しい）","","9","［形1］ 忙，忙碌","忙しい"
"いい","","9","［形1］ 好","いい"
"わるい（悪い）","","9","［形1］ 不好，坏","悪い"
"すばらしい","","9","［形1］ 极好，绝佳","すばらしい"
"とおい（遠い）","","9","［形1］ 远","遠い"
"ちかい（近い）","","9","［形1］ 近","近い"
"たかい（高い）","","9","［形1］ 高，贵","高い"
"ひくい（低い）","","9","［形1］ 低","低い"
"やすい（安い）","","9","［形1］ 便宜","安い"
"さむい（寒い）","","9","［形1］ 寒冷","寒い"
"あつい（暑い）","","9","［形1］ （天气）热","暑い"
"あおい（青い）","","9","［形1］ 蓝色的","青い"
"しろい（白い）","","9","［形1］ 白色的","白い"
"あたらしい（新しい）","","9","［形1］ 新","新しい"
"ふるい（古い）","","9","［形1］ 旧","古い"
"むずかしい（難しい）","","9","［形1］ 难","難しい"
"やさしい（易しい）","","9","［形1］ 容易","易しい"
"おおい（多い）","","9","［形1］ 多","多い"
"すくない（少ない）","","9","［形1］ 少","少ない"
"かわいい","","9","［形1］ 可爱","かわいい"
"ほんとうに（本当に）","","9","［副］ 真的，实在是","本当に"
"あまり","","9","［副］ 不（太）～，不很～","あまり"
"とても","","9","［副］ 很，非常","とても"
"たいへん","","9","［副］ 很，非常","たいへん"
"すこし（少し）","","9","［副］ 一点儿","少し"
"ちょっと","","9","［副］ 一点儿","ちょっと"
"ぜんぜん（全然）","","9","［副］ 根本（不），全然（不）","全然"
"ちょうど","","9","［副］ 正好，恰好","ちょうど"
"あら","","9","［叹］ 哎呀，咦","あら"
"あれ","","9","［叹］ 哎呀，咦","あれ"
"ああ","","9","［叹］ 啊","ああ"
"てんあんもん（天安門）","","9","［专］ 天安门","天安門"
"ばんりのちょうじょう（万里の長城）","","9","［专］ 万里长城","万里の長城"
"きもちがいい（気持ちがいい）","","9","感觉舒服，心情愉快","気持ちがいい"
"よう（用）","","9","事情,用途","用"
"もみじ（紅葉）","","10","［名］ 红叶","紅葉"
"こきょう（故郷）","","10","［名］ 故乡","故郷"
"とおり（通り）","","10","［名］ 大街","通り"
"まち（町）","","10","［名］ 城市，街道","町"
"ところ（所）","","10","［名］ 场所","所"
"おみせ（お店）","","10","［名］ 餐馆；商店","お店"
"にんぎょう（人形）","","10","［名］ 玩偶","人形"
"さくひん（作品）","","10","［名］ 作品","作品"
"ちょうこく（彫刻）","","10","［名］ 雕刻","彫刻"
"じどうしゃ（自動車）","","10","［名］ 汽车","自動車"
"どうぐ（道具）","","10","［名］ 工具","道具"
"さかな（魚）","","10","［名］ 鱼","魚"
"おかし（お菓子）","","10","［名］ 点心","お菓子"
"もの（物）","","10","［名］ 物品，东西","物"
"シーズン","","10","［名］ 季节","シーズン"
"しゅうがくりょこう（修学旅行）","","10","［名］ 修学旅行","修学旅行"
"かんこうきゃく（観光客）","","10","［名］ 游客","観光客"
